subject,f1_macro,roc_auc,n_samples
physionet_S04,0.9649869254974959,0.988709397255515,158
physionet_f03,0.8673562479922904,0.9636035105833763,279
physionet_S03,0.6971571383942519,0.8162962962962963,131
physionet_f05,0.8954682692168787,0.9734177215189874,268
physionet_f02,0.8299613548533757,0.879265873015873,204
physionet_S11,0.5914502164502164,0.8568780126065999,151
physionet_S14,0.7651451917585556,0.9060985797827903,162
physionet_S13,0.581578947368421,0.7215254237288136,159
physionet_S12,0.375,0.4545454545454546,55
physionet_f09,0.8610992026065335,0.9738613515167409,216
