Feature,F1_drop_mean,F1_drop_std
eda_baseline_mean,0.0009078688285148351,0.00044561806940902085
sl_baseline,-3.9838293400285e-05,0.0006608589849001498
eda_tasks_mean,-0.00019423239642357704,0.000267207084993103
hr_tasks_mean,-0.00023276308902522302,0.0005483483452238612
bmi,-0.000767612873298873,0.0009117806841771974
age,-0.0009828107033684086,0.0004304564292962909
sl_mean_tasks,-0.0012399299347669146,0.0009281837239453947
hr_baseline_mean,-0.0013176938851475306,0.0005852512039814801
hr_reactivity,-0.001496744060036348,0.0003594305087269386
eda_reactivity,-0.002002797407705681,0.000362350080811348
sl_reactivity,-0.0025529551136868945,0.0006557054143134633
sl_peak,-0.0027052792015198833,0.0008778256331223535
gender,-0.004173697633276308,0.0006031507209061155
