Feature,F1_drop_mean,F1_drop_std
sl_peak,0.008892207594725265,0.0019383491284537201
sl_mean_tasks,0.004464850738419246,0.0007068288306460839
sl_reactivity,0.0040246498340309024,0.0009017320783961845
age,0.003753913345942461,0.002076829159568377
hr_tasks_mean,0.0018908637997126388,0.000595849540577833
eda_tasks_mean,0.0007433260735721925,0.000436366140346335
bmi,0.0007178375419460758,0.001209661859860495
eda_baseline_mean,0.0006279447738346989,0.0004807619891709565
sl_baseline,-7.800095928873762e-05,0.0006888006008808337
hr_baseline_mean,-0.0014437824662136168,0.000504875389734945
hr_reactivity,-0.0016969452342087354,0.0006396871268857864
eda_reactivity,-0.0017985984346672534,0.0008167523756033245
gender,-0.002879246266901747,0.00133039536057942
