Feature,F1_drop_mean,F1_drop_std
hr_tasks_mean,0.009935563127950964,0.0011642819046833578
sl_peak,0.0063378078436185925,0.0014138978435433095
eda_tasks_mean,0.0033096766286697444,0.0009217933039226914
hr_baseline_mean,0.003203414996568088,0.001047946909536593
hr_reactivity,0.0015792799379652945,0.0005090775514786344
eda_reactivity,0.001189705210944858,0.0006435299313568028
sl_reactivity,0.0007473384805900985,0.00048522814749935587
age,9.291629208652008e-05,0.0002922696739190504
sl_baseline,8.218534051493976e-05,0.0012058862597028816
sl_mean_tasks,-0.00010361688758078191,0.0018674629973599191
eda_baseline_mean,-0.0002087095965429331,0.000915372970612166
gender,-0.002792752749770888,0.00117153871586882
bmi,-0.0033874402410266403,0.00040623983428588037
