Feature,F1_drop_mean,F1_drop_std
sl_mean_tasks,0.00041965546482101155,0.0002530678757975032
hr_baseline_mean,0.0003814968678696129,0.00012064565465661549
eda_baseline_mean,0.00032184283802694225,0.00019835719668906597
sl_reactivity,0.00029691981435318036,0.0002331164747296039
gender,0.00013330661761787877,0.00014891490015720576
eda_tasks_mean,4.927920540684916e-05,0.00015105179327006034
sl_baseline,2.9889090526413752e-05,0.00029309419510048686
hr_reactivity,0.0,0.0
sl_peak,-4.090641917511295e-05,0.00014962184802626267
age,-4.368907171969916e-05,0.0001486985416732173
bmi,-8.460171908624137e-05,0.0002944365174574362
hr_tasks_mean,-0.00010328632244740454,0.00023459936670930953
eda_reactivity,-0.00012275632088885047,0.0001002301162930132
