subject,n_samples,f1_macro,roc_auc
AEROBIC_f01,479,0.7806977383023532,0.8697613197613198
AEROBIC_f06,527,0.6135854341736695,0.9900161355385236
ANAEROBIC_S04,195,0.537901173166379,0.9166312659303313
ANAEROBIC_f02,451,0.7892788063000828,0.9258143290401355
AEROBIC_S01,367,0.7521314549514115,0.9772078925472484
ANAEROBIC_S13,222,0.5948183760683761,0.8648538961038961
ANAEROBIC_f05,320,0.6639605799911144,0.9873957959395318
ANAEROBIC_S07,215,0.33641975308641975,0.596503375454388
AEROBIC_f13,432,0.9167322932212818,0.9823856815453454
ANAEROBIC_f11,478,0.7257093419496089,0.8665535764772406
ANAEROBIC_f04,266,0.548344886673417,0.7659033078880408
ANAEROBIC_S17,208,0.6807452101196148,0.8104331625523987
AEROBIC_S04,374,0.7327553353658536,0.9779714146032842
AEROBIC_f04,416,0.8450028683458811,0.9023206360946746
ANAEROBIC_S11,216,0.7608405829849735,0.9261767984223612
