feature,mean_abs_shap
temp_max,1.5671446
eda_scl_mean,0.9769773
eda_mean,0.87690717
temp_min,0.8044256
acc_y_rms,0.47849572
acc_sma,0.30106455
acc_mag_mean,0.2625213
bvp_HRV_MeanNN,0.20842643
temp_mean,0.20841804
eda_scl_slope,0.17699525
acc_z_rms,0.16570707
eda_range,0.14844164
acc_y_mean,0.14467138
bvp_std,0.13831404
eda_scr_amplitude,0.13392122
eda_scr_peaks,0.13372535
acc_z_std,0.13271186
temp_range,0.12590334
acc_mag_std,0.11702812
acc_z_mean,0.11200436
bvp_HRV_SD2,0.105294935
eda_scl_std,0.10449747
acc_x_rms,0.10424799
acc_x_std,0.10053159
temp_slope,0.097551435
acc_y_std,0.09357006
acc_dom_freq,0.0925181
bvp_HRV_SampEn,0.09174915
eda_scr_max,0.08863671
temp_std,0.083286695
acc_x_mean,0.081931755
bvp_HRV_pNN50,0.08140201
acc_band_0p5_3,0.079005055
acc_band_3_10,0.07863109
acc_mag_max,0.07670625
bvp_peak_count,0.07609573
bvp_HRV_SDNN,0.06597068
acc_spectral_ent,0.0543935
eda_std,0.04686143
eda_scr_energy,0.044697493
bvp_HRV_SDSD,0.040704265
bvp_HRV_RMSSD,0.03959863
bvp_HRV_HF,0.023497585
bvp_HRV_SD1,0.02303524
eda_scr_mean,0.00552494
bvp_mean,0.004911725
