subject,n_samples,f1_macro,roc_auc,model
AEROBIC_f13,432,0.8379594898724682,0.946813805041653,XGBoost
ANAEROBIC_S11,216,0.5889453801800779,0.8642119443197126,XGBoost
ANAEROBIC_S12,221,0.7375081913499345,0.8566649511065363,XGBoost
ANAEROBIC_S18,192,0.6862745098039216,0.7372609704874544,XGBoost
AEROBIC_S13,397,0.7320982938629997,0.9624208860759493,XGBoost
AEROBIC_S16,369,0.9493441122635753,0.9961005459235707,XGBoost
ANAEROBIC_f05,320,0.5924764890282131,0.9934920634920635,XGBoost
ANAEROBIC_S07,215,0.382183908045977,0.8405464881716486,XGBoost
ANAEROBIC_f07,428,0.7441368527545296,0.8789898673585792,XGBoost
AEROBIC_f11,367,0.5720860198447937,0.9310034172103137,XGBoost
AEROBIC_S09,375,0.931995405911866,0.9998530880883822,XGBoost
AEROBIC_f02,341,0.47159090909090906,0.7900386431945041,XGBoost
AEROBIC_S07,328,0.9414634146341463,0.9813018581278485,XGBoost
ANAEROBIC_S17,208,0.47376311844077956,0.6627118644067796,XGBoost
ANAEROBIC_S16,227,0.5421214997626957,0.6634138537833947,XGBoost
AEROBIC_f13,432,0.8819134396355353,0.9771935518770962,RandomForest
ANAEROBIC_S11,216,0.49398719350304543,0.9129770992366413,RandomForest
ANAEROBIC_S12,221,0.6550970722267307,0.8003088008234689,RandomForest
ANAEROBIC_S18,192,0.6951786758766677,0.7144909914888913,RandomForest
AEROBIC_S13,397,0.7236453044672223,0.9375527426160337,RandomForest
AEROBIC_S16,369,0.9349081566131074,0.9964904913312136,RandomForest
ANAEROBIC_f05,320,0.6288457629347969,0.9943650793650793,RandomForest
ANAEROBIC_S07,215,0.382183908045977,0.8912525215477718,RandomForest
ANAEROBIC_f07,428,0.6617914925533055,0.951707786252712,RandomForest
AEROBIC_f11,367,0.34590031126081955,0.8748058403230817,RandomForest
AEROBIC_S09,375,0.974972005724922,0.9997355585590879,RandomForest
AEROBIC_f02,341,0.4530325814536341,0.7206955775010735,RandomForest
AEROBIC_S07,328,0.9374692714447688,0.99711736979471,RandomForest
ANAEROBIC_S17,208,0.620583717357911,0.8175141242937853,RandomForest
ANAEROBIC_S16,227,0.597995523985599,0.6461366181410975,RandomForest
