subject,n_samples,f1_macro,roc_auc
AEROBIC_f13,432,0.8819134396355353,0.9771935518770962
ANAEROBIC_S11,216,0.49398719350304543,0.9129770992366413
ANAEROBIC_S12,221,0.6550970722267307,0.8003088008234689
ANAEROBIC_S18,192,0.6951786758766677,0.7144909914888913
AEROBIC_S13,397,0.7236453044672223,0.9375527426160337
AEROBIC_S16,369,0.9349081566131074,0.9964904913312136
ANAEROBIC_f05,320,0.6288457629347969,0.9943650793650793
ANAEROBIC_S07,215,0.382183908045977,0.8912525215477718
ANAEROBIC_f07,428,0.6617914925533055,0.951707786252712
AEROBIC_f11,367,0.34590031126081955,0.8748058403230817
AEROBIC_S09,375,0.974972005724922,0.9997355585590879
AEROBIC_f02,341,0.4530325814536341,0.7206955775010735
AEROBIC_S07,328,0.9374692714447688,0.99711736979471
ANAEROBIC_S17,208,0.620583717357911,0.8175141242937853
ANAEROBIC_S16,227,0.597995523985599,0.6461366181410975
