subject,n_samples,f1_macro,roc_auc
AEROBIC_f13,432,0.8379594898724682,0.946813805041653
ANAEROBIC_S11,216,0.5889453801800779,0.8642119443197126
ANAEROBIC_S12,221,0.7375081913499345,0.8566649511065363
ANAEROBIC_S18,192,0.6862745098039216,0.7372609704874544
AEROBIC_S13,397,0.7320982938629997,0.9624208860759493
AEROBIC_S16,369,0.9493441122635753,0.9961005459235707
ANAEROBIC_f05,320,0.5924764890282131,0.9934920634920635
ANAEROBIC_S07,215,0.382183908045977,0.8405464881716486
ANAEROBIC_f07,428,0.7441368527545296,0.8789898673585792
AEROBIC_f11,367,0.5720860198447937,0.9310034172103137
AEROBIC_S09,375,0.931995405911866,0.9998530880883822
AEROBIC_f02,341,0.47159090909090906,0.7900386431945041
AEROBIC_S07,328,0.9414634146341463,0.9813018581278485
ANAEROBIC_S17,208,0.47376311844077956,0.6627118644067796
ANAEROBIC_S16,227,0.5421214997626957,0.6634138537833947
