feature,mean_abs_shap
eda_scl_mean,1.4096648
eda_mean,1.3686869
temp_max,1.0195981
temp_min,0.8928513
acc_y_rms,0.55296105
bvp_std,0.39912271
eda_std,0.35750037
eda_scl_std,0.2544669
acc_x_mean,0.2347197
acc_sma,0.23098598
temp_slope,0.19795585
eda_scr_energy,0.19427939
bvp_HRV_pNN50,0.19235983
bvp_HRV_SDNN,0.18466333
eda_scr_max,0.17180294
temp_mean,0.16689944
acc_z_rms,0.16688566
bvp_HRV_MeanNN,0.16666043
acc_y_std,0.15604278
acc_y_mean,0.15448722
eda_scl_slope,0.13019566
acc_x_std,0.1276679
acc_x_rms,0.12395789
bvp_HRV_SD2,0.12039631
acc_z_std,0.10406329
acc_z_mean,0.097183004
acc_mag_max,0.08982898
acc_band_0p5_3,0.083879046
acc_mag_std,0.08362322
temp_std,0.08293334
eda_scr_amplitude,0.08148733
temp_range,0.07880176
acc_mag_mean,0.068422124
bvp_HRV_SampEn,0.064434275
bvp_HRV_RMSSD,0.055307295
bvp_HRV_HF,0.05165686
eda_range,0.05062138
acc_band_3_10,0.048751794
acc_dom_freq,0.034477375
eda_scr_peaks,0.02971639
bvp_peak_count,0.028560555
bvp_HRV_SDSD,0.0255204
eda_scr_mean,0.018772373
acc_spectral_ent,0.015381435
bvp_HRV_SD1,0.011847093
bvp_mean,0.006501149
